Collecting predictions: 100%|██████████| 1184/1184 [01:56<00:00, 10.14it/s]
--- Per-Class Accuracy ---
Class 0: 47.47%
Class 1: 77.53%
Class 2: 78.48%
Class 3: 92.09%
Class 4: 64.24%
Class 5: 81.96%
Class 6: 81.01%
Class 7: 98.10%
Class 8: 96.52%
Class 9: 62.34%
Class 10: 12.38%
Class 11: 8.57%
Class 12: 19.62%
Class 13: 71.84%
Class 14: 80.70%
Class 15: 71.75%
Class 16: 43.67%
Class 17: 64.87%
Class 18: 83.54%
Class 19: 84.13%
Class 20: 90.51%
Class 21: 95.25%
Class 22: 72.15%
Class 23: 99.37%
Class 24: 60.76%
Class 25: 89.56%
Class 26: 100.00%
Class 27: 75.95%
Class 28: 71.52%
Class 29: 79.75%
Class 30: 80.95%
Class 31: 76.58%
Class 32: 86.71%
Class 33: 66.14%
Class 34: 95.57%
Class 35: 99.68%
Class 36: 82.28%
Class 37: 93.04%
Class 38: 94.94%
Class 39: 84.29%
Class 40: 69.62%
Class 41: 82.59%
Class 42: 98.10%
Class 43: 34.49%
Class 44: 84.49%
Class 45: 69.94%
Class 46: 68.04%
Class 47: 90.51%
Class 48: 45.57%
Class 49: 81.79%
Class 50: 92.04%
Class 51: 98.73%
Class 52: 71.52%
Class 53: 86.94%
Class 54: 88.03%
Class 55: 59.81%
Class 56: 78.80%
Class 57: 93.04%
Class 58: 98.42%
Class 59: 100.00%
